id,rating,coffee_type,review_body,date,store_id
Alisha Blannin,4,8,"Proin risus. Praesent lectus. Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio.",2021-07-30 01:35:23,A8jRnZGiMJiMpfHt8qKV3w
Marsh Downey,5,12,Maecenas tincidunt lacus at velit.,2021-02-25 01:24:17,U1exuSaIwTwpjxvlrKeftg
Nanette Cassimer,3,5,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis. Duis consequat dui nec nisi volutpat eleifend.,2021-02-17 15:00:52,JDZKLVBY5YZHEhAY8XVwBQ
Bili Simenet,3,6,"Donec dapibus. Duis at velit eu est congue elementum. In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo. Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis.",2021-02-01 05:06:17,JDZKLVBY5YZHEhAY8XVwBQ
Sammy Molines,3,14,"Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla. Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam. Nam tristique tortor eu pede.",2021-04-28 14:25:34,59dulpe8fTkvAtDVIdAW4Q
Letta Piscopo,2,14,"Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus. Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst. Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat.",2021-01-19 04:56:11,lihqYXrg3-MaU6lG5hpqmg
Cazzie Milbourne,3,1,"Integer ac neque. Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus. In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.",2021-02-10 11:55:05,JDZKLVBY5YZHEhAY8XVwBQ
Marjory Dieton,1,11,"Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede. Morbi porttitor lorem id ligula.",2021-08-22 03:49:13,VF3Ep2NQN8FqSCV8ySulSA
Olva Lorinez,1,2,"Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis. Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl.",2020-10-30 18:40:27,A8jRnZGiMJiMpfHt8qKV3w
Had Lorraway,4,1,"Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat. In congue. Etiam justo. Etiam pretium iaculis justo. In hac habitasse platea dictumst.",2021-09-10 06:14:22,bmSYtYRPf6ycx-4xWhbHFg
